1, /Users/main1/Movies/benVideoArtProjects/benFace/png/rescaling/IterateTests/FaceWithBG copy, FaceBG_1445, 1440x1900 pixels, 2221
2, /Users/main1/Movies/benVideoArtProjects/benFace/png/rescaling/IterateTests/FaceWithBG_iterate6, FaceBG_1445, 1440x1920 pixels, 2221
3, /Users/main1/Movies/benVideoArtProjects/benFace/png/rescaling/IterateTests/FaceWithBG, FaceBG_1445, 1080x1440 pixels, 2221
4, /Users/main1/Movies/benVideoArtProjects/benFace/png/useful/faceSplit2, faceSplit_2_1590, 1440x1920 pixels, 2221
5, /Users/main1/Movies/benVideoArtProjects/benFace/png/useful/faceSplit5, faceSplit_5_1907, 1440x1920 pixels, 2221
6, /Users/main1/Movies/benVideoArtProjects/benFace/png/useful/faceSplit3, faceSplit_3_0842, 1440x1920 pixels, 2221
7, /Users/main1/Movies/benVideoArtProjects/benFace/png/useful/FaceBGOnly, FaceBGOnly_0424, 1440x1920 pixels, 2221
8, /Users/main1/Movies/benVideoArtProjects/benFace/png/useful/faceUpscale3, ben3rdRetouch00934, 1080x1440 pixels, 2221
9, /Users/main1/Movies/benVideoArtProjects/benFace/png/useful/FaceFills3, FaceFills3_0410, 1080x1440 pixels, 2221
10, /Users/main1/Movies/benVideoArtProjects/benFace/png/useful/faceUpscale2, ben2ndRetouch01827, 1080x1440 pixels, 2221
11, /Users/main1/Movies/benVideoArtProjects/benFace/png/useful/FaceFills2, FaceFills2__0639, 1440x1920 pixels, 2221
12, /Users/main1/Movies/benVideoArtProjects/benFace/png/useful/VulkanLowResPath5, FaceVulkan31807, 1440x1920 pixels, 2221
13, /Users/main1/Movies/benVideoArtProjects/benFace/png/useful/faceMono, headBW_0952, 1080x1440 pixels, 2221
14, /Users/main1/Movies/benVideoArtProjects/benFace/png/useful/faceUpscale1, faceFirstUpscale_1946, 1080x1440 pixels, 2221
15, /Users/main1/Movies/benVideoArtProjects/benFace/png/useful/faceNoBG, faceNoBG_1349, 1440x1920 pixels, 2221
16, /Users/main1/Movies/benVideoArtProjects/benFace/png/useful/VulkanDeepBG, frame-000512, 1080x1440 pixels, 2221
17, /Users/main1/Movies/benVideoArtProjects/benFace/png/rejectPNG/FaceVulkanX5, VulkanAnime_5X_1823, 984x1312 pixels, 2225
18, /Users/main1/Movies/benVideoArtProjects/benFace/png/rejectPNG/FaceVulkanAnimeX4, VulkanAnime_X4_0674, 246x328 pixels, 2225
19, /Users/main1/Movies/benVideoArtProjects/benFace/png/rejectPNG/FaceWithBG, FaceBG_1445, 1440x1920 pixels, 2221
20, /Users/main1/Movies/benVideoArtProjects/benFace/png/rejectPNG/faceNoBGRough, facePng0967, 1440x1920 pixels, 2221
21, /Users/main1/Movies/benVideoArtProjects/benFace/png/rejectPNG/faceSplit6, faceSplit_6_0479, 1440x1920 pixels, 2221
22, /Users/main1/Movies/benVideoArtProjects/benFace/png/rejectPNG/faceSplit1, faceSplit_1_0150, 1440x1920 pixels, 2221
